"nama","ulasan","penilaian"
"Nengsih Aulia Devi","Jangan mau deh pakai tokopedia untuk pengguna baru udh dpt vocher tapi mlah d batalkan oleh sistem... aneh sekali langsung gw unfollow mending pke sho***","1"
"Andri Setiawan","Sudah lama menggunakan aplikasi tokopedia, baru kali saya sangat kecewa.","1"
"Silalis","Gw mau nanya chat admin, tpi ada gangguan dirumah tokopedia mulu??, download juga gagal, ribet deh, ada segal donlot mulu, pdahal udh donlot tokped, mau buka akun saya aja hrus download mulu, mana lama lgi?? Gmn sih min, mohon tingkatkan lgiii, nanti sya tambah bintangnya","1"
"Suwandi Jaya","Kok traktiran pengguna baru pada saat mau beli kok gak bisa bayar COD sih","1"
"Chef william Hermawan","Aman dan nyaman u transaksi tetapi perlu kejelian dalam memilih toko...dan jangan pernah lakukan COD...karena COD celah toko berbuat curang....trsnsaksi pengembalian dana aman dengan ntransaksi virtual .asalkan syarat dan prosedure di ikuti dengan baik dan benar ...toped juga di takuti oleh toko toko modus dan nakal","5"
"Eko Widodo","Pengiriman barangnya lama, kemarin aku pesan brg,tgl 24 Mei'21 estimasi sampai tgl26-29 Mei '21 kok sampai 1 Juni belum sampai,paket JNE reguler mohon di tingkatkan pelayanan nya dong mitra kerjanya agar pelanggan TDK kecewa","1"
"Eric Susilo","banyak penjual yang responnya lambat, solusi dr CS tokopedia tidak relevan.","1"
"Resa Arya Prayoga","ayo kalahkan popularitas toko sebelah dengan lebih men treat customer dengan lebih baik lagi","4"
"Layla Masruroh","Hai kak kemaren saya beli di aplilasi ini kok gak datang datnag kk sudah satu bulan","4"
"Rian Hardiansyah","mantap.. dukung olshop buatan anak negeri, semoga makin jaya !!","5"
"Rendy Kim","Aplikasi nya bagus banget kalian wajib download nih aplikasi nya:v","4"
"I idin","goodd aplikasi,,,dah lama gak pake lgi. mao cb lagi...semoga makin berlimpah programnya...tq","4"
"Muhammad Taufiq","Gratis ongkir! tapi proses pengirimannya barang terlalu lama sampainya","1"
"Haris Sulistyo","Untuk sementara sih bagus dibanding si orange sekarang Tapi untuk ongkir gratisnya kok cma bisa gosend? Apa karna lagi event merger jadi GoTo? Agak mengecewakan sih ga mungkin kan seller di bali buyer di jkt dikasih gratis ongkir gosend","5"
"Aldo Refiandy","Barang nya banyak ragam.. hampir di cari ada smua di tokopedia.. dan yg lebih ok lagi banyak voucher... voicher cashback smoga lebih di tingkatkan lagi","5"
"Deny Syahputra","Udah ke2 kalinya sinyal full ada wifi tapi peringatan sinyal terputus ,masa iya kudu uninstall tiap kali bgtu ,mohon d perbaiki","1"
"siswi istiqomah","Sekarang ongkir nya saingan kyk toko sebelah gila2an ??????...mending cek di toko sebelah nya lagi yang mumerrr??","3"
"Ozie","Kerja sama doang jd goto (gojek-tokopedia) tp ga ada alternatif pilihan pembayaran via gopay, piye toh..?? Di blibli aja ada pilihan pembayaran via gopay masa tokped ga ada, payahlah","1"
"Saepur Rohman","Terima kasih atas gratisannya untuk pengguna baru. Love Tokopedia.","5"
"Sri Mulia","Kok di aplikasi saya menu dapat komisi sebar link jualan ngg ada Semoga moncul lagi menu by me pada aplikasi saya di tokopedia","3"
"Reisha Ayudia Syafa","toko pedia itu bagus banget, banyak cashback nya. tingkatkan terus kualitas nya yaa","5"
"hsa official","Mohon Maaf tokped.. Kok sekarang lebih susah ya kalo mau login lagi karena lama gak pakai tokped.Dulu gak susah kaya gini loh. Mohon lebih di perbaiki lagi.","1"
"Alpin Adi","Ini kenapa ya kak, kok tiba2 apk gk muncul gambar apapun. Gk bisa dibuka apk nya.","4"
"natalia Puspasari","Banyak produk yg bagus tapi sekarang ga ada nama produknya yg ada cuma tulisan tak image tak product tak prize tolong di cantum kan lg dong nama produk dan harganya dan cod di perbanyak Gratis ongkirnya ga bisa kalo di bawah 50000 ya tolong supaya gratis ongkirnya bisa di bawah 50 rb dan 50 rb ke atas jg bisa dan bisa cod jg","5"
"Sylvia Natalia Panggabean","pilihan pembayaran banyak. mudah dan terpercaya. mantap aplikasinya","5"
"Todd","Coba belanja di tokped karna mau support lokal, udah belanja, barang yg datang tidak sesuai, komplain, disuruh mengembalikan barang, keluar ongkir lagi, sangat amat merugikan buyer, kecewa dah pokoknya, mending balik ke toko oren lagi aja dah","1"
"Cheii Ssa","Banyak beredar data pribadi pengguna toko pedia bocor alias diperjual belikan sama oknum laknat, dan saya coba chek menggunakan email saya, ternyata saya salah satunya yg datanya bocor , dalam keteranganya meliputi, alamat email, alamat ip, ttl, jenis kelamin dan alamat sesuai KTP. Laknat benar pengelola tokped kalau sampai data pribadi pengguna disalah gunakan. Pantas sering ada org telfon nagih ini itu gajelas. Rupanya lg boomung banyak dibahas.","1"
"Andy Atung","senang nya bisa belanja melalui aplikasi tokopedia.byk promo cash back nya.ini bukti yg nyata.saya beli hp tuker dengan poin cashback dr toko pedia.i love you Tokopedia.","5"
"Jusdi Civil","Barang saya sudah bayar tapi belum sampai hingga sekarang. sudah lewat masa estimasi, barang tdk bergerak saat dilacak. penipu, krn saya pakai kupon promo kali.","1"
"Reza br","Chat saya pada Tokopedia care tidak di balas2 sudah satu hari lebih padahal saya lagi mengalami masalah komplain, link yang Kaka kasih tidak bisa di ketik, masih GK bisa di klik","1"
"Gigih Elbarca","Tokopedia baik baik buat pengguna baru kasih barang gratis.","5"
"3 Har","Sudah bagus aplikasinya,Sedikit perbaikan aja kadang masih ada gangguan dirumah toped.","5"
"Eli Rasyid","Traktiran pengguna baru susah dipakainya, promonya selalu gagal. Tapi ada diskon 30 ribu pengguna baru, so yea oke deh. Hari ini pesenan yang dipesan kemarin udah datang, ga nyangka cepet bangeeeet. Sukses terus Tokopedia~","5"
"Bagus Hand Pray","Saya mengajukan komplain tapi dana akan masuk ke seller,,padahal d sini seller yg salah kirim barang dan saya harus mengirim balik barang itu agar dana saya kembali lagi.. D sini saya merasa d rugikan oleh tokopedia","1"
"Abbo Baon","saya sudah update...tp kenapa belum ada metode pembayaran ditempat, bagaimana caranya kah?","5"
"Tomi Wibowo","Tokopedia para penjual gak ada rasa tanggung jawabnya masa saya pesan cuman diplastikin doang .udah itu barang nya rusak parah .penjulnya pun tidak peduli.kalau di shopee pasti dikasih bubble wrap .dasar penjual Tokopedia gak ada tanggung jawabnya .gak usah jadi penjual woi .gak ada tanggung jawabnya mlo itu penjual .pelayanannya mana.burui banget.masa brang bisa ancur.mana dia bilang gak peduli .awas ya .mending aku pindah ke shopee aja.terpercaya .dan keamanan nya terjamin.","1"
"Mulyo Arpena","gila bener, ongkirnya menjerat leher, beli olie di sebelah plus ongkir cuma 184rb, disini 119rb ( oli yg sama, official store yg sama jg )","2"
"Peduli Muslimin Asia","1. Tokped menawarkan layanan telp utk atasi kendala dg meminta schedule, tp malah tidak ga tepati janji & telat 30 menit ?? 2. Berkali² memberi solusi agar mengganti provider, helloo?! Saya pake provider yg sama lalu checkout di marketplace lain lancar² aja tuh, prlu saya sebutin brand Marketplace nya? 3. Membiarkan masalah ini berlarut², sampai skarang saya tidak bisa checkout & tokpedcare tidak bisa memberikan saya solusinya ?? Tidak bisa lampirkan foto pdahal udah saya skrinsut-kan ??","1"
"amirvan Kalidupa","Kak mohon dibantu saya udah selesaikan pembelajaran di skil akademi prakerja dan juga udah dapat sertifikatnya mohon di bantu di akun prakerja saya belum juga bisa menulis ulasan","5"
"Vitri Pratama","agak bikin pusing sih ni aplikasi,, agak ribet jg dibanding aplikasi yg laik","3"
"andri sudarmawan","tokopedia kenapa saat ini tidak dapat menggunakan fitur COD bahkan metode pembayaran nya tidak komplit tolong lah buat developer tokopedia untuk memperbaiki aplikasi ini lebih sempurna lagi jagan di persulit kami yang ingin beli barang tetapi tidak memiliki kartu atm jadi sulit apa lagi tidak ada pilihan cod di kota kalimantan tengah saya mewakilkan untuk mohon di beri fitur cod kembali, terimakasih","1"
"cie nui","Ko alamt2 lama yg tersimpan bekas dropship ilang semua..kan ga ada hak pihak Tokopedia menghapus data pribadi di aplikasi","2"
"Yogi Ramadhany","agak kecewa sama sistem tokopedia,tokonya menyediakan fitur cod pas milih pembayaran fitur codnya ga ada dan saya udah mencoba semua produk yang menggunakan fitur cod juga gak bisa,tolong secepatnya di atasi,sangat menggangu padahal saya mau membeli keperluan saya di aplikasi ini","1"
"mas pramono","aplikasi sangat bermanfaat belanja kebutuhan apapun tersedia,proses mudah pengiriman cepat,tq toped","5"
"MUHAMAD Fajar AGISTIAN","Bagus, murah, tanpa error, pengiriman cepet, penjual jujur, wajib pake tokopedia kalo belanja online","5"
"Anatasya Sella Anggreini","Pesanan dibatalkan, trus kemana uang yg sudah saya transfer untuk pembelian v15 pro senilai 717.100,- Saya minta klarifikasinya untuk prosedur pesanan yg dibatalkan karena penjual melebihi limit katanya.","2"
"Lastri sri Suhartiwi","semangat kerja sama nya jaga kualitas tokopedia barang barang nya harus sesuai pesanan","5"
"Muhammad Yamin","Saya telah memberikan Ulasan dan Ratting pada pembelian pelatihan prakerja di Tokopedia akan tetapi saya mendapatkan laporan dari skill akademi bahwasanya saya belum memberikan ulasan. Mohon di cek kembali. Dan mohon proses sertifikatnya terima kasih","5"
"Tyka Pimbem","Ribet beli di tokopedia..percuma amat dpet diskon..mau pembayaran pake virtual account aja susah bgt ,mlah di batalin..krna indikasi kecurangan..yaelah curang dari mana coba nuyul aja kaga..akun jg cma punya 1 ,enakan belanja di shopee ,kasih diskon sma cashbackpun ga ribett","1"
"Z sanjani","Gk bisa buka aplikasi alasan gk ada koneksi internet, padahal ada","1"
"Rini Anjelika","Tolong dong min update apk jangan terlalu sering yaa ?? layanan bagus kok cuma kenapa apk nya jdi sering di update mulu gtu","5"
"Patrik Yusma","Tokopedia lemot banget, ngisi paket data aja 1 jam lebih belum masuk, kalo di shopee beli paket data 1 menit langsung masuk. Baru pertama kali transaksi di tokopedia sudah dikecewakan, ah sudahlah","2"
"Wahi din","pembayaran melalui kredivo sangat cepat,moga jaya tokopedia...amin","5"
"Azas Indra","Sering terjadi pengambilan saldo otomatis buat beli pulsa.. padahal saya sama sekali tidak merasa beli pulsa.. tiba"" pas saya cek .. Tokopedia beli pulsa 100rbu . Sistem di perbaiki lagi ... Walaupun 100rbu tapi berasa juga kalo di buang begitu saja...","1"
"Akatsuky Lim","Tolong segera proses pengembalian retur ongkir saya yang sudah lewat jauh dari estimasi tapi belum ada kejelasannya apa lagi dikembalikan","1"
"Mikayla Krista","Saya pengguna baru, baru aja belanja dan bayar ke Indomaret bersamaan saya selesai bayar langsung di batalkan sepihak dari pihak sistem tokped katanya melanggar saya gak tau melanggar apaan.Katanya aplikasi ini lebih baik dr aplikasi sebelah baik apa an?! Baru aja jadi pengguna baru sudah keg gini?? seumur2 baru pertama kali saya kasi penilaian di aplikasi jelek keg gini.","1"
"Sandy Bangun","Baru pertama belanja semoga lancar , kalo boleh ongkir itu di kurangin lah harganya jangan mahalan ongkir dari pada barang .mantap","5"
"rosyid rahardja","DARI KMAREN KELUHAN GUA GA DI BENERIN !!!LO NIAT KAGA BUAT NI TOKO?KATANYA COD COD,,,MANA GUA KAGA ADA PILIHAN COD!DR KMAREN GUA KOMPLEN TP KAGA DI GUBRIS,KALIAN PIHAK TOKPED BISA BACA NGGAK?LULUSAN LU SMUA APAAN??JUJUR GUA KECEWA BERAT,MENDING TOKPED YG DULU YG GA BNYAK BCD,TP COD BISA GRATIS ONGKIR PULA...","1"
"Azma Gusneti","mantaaap bngat.. toko pedia kita order lansung d respon dg cepatt..gk sma dg toko online seblah, dah lama sekali gk jga respon orderan ny payaahhh... !!","5"
"wardah hanifa","Min kenapa yaa kok saya baru instal tokped tapi ngga ada fitur toko pointnya?? Padahal yg sebelumnya itu ada min sebelum hp saya keriset,, semoga dijawab??","4"
"Apriliana Sari","Gilak sejak ada fitur panen telur udah belanja beberapa kali + pulsa gratis tanpa bayar lagi pokoknya the best deh??????????","5"
"Ahmad Tabrizi","Ga lagi2 belanja di Tokped .. Seller dan kurir mengecewakan semua Dgn pengiriman yg lama dan tidak jelas","1"
"irphan azhari","pembayaran lumayan ribet, tidak bisa langsung transfer dari mobile banking mandiri saya seperti onlineshope oren :)","3"
"Dian Tri Setyo Wibowo","untuk saat ini masih sangat membantu aplikasi ini!!!","5"
"3 Jagoan","Dikasih bintang 1 aja deh, nyebelin banget tiap transaksi pasti batal, ya kali akun saya dobel, masa alamat sama, WiFi sama, sama istri dikira akun ganda.","1"
"Janessa Meliani","Well awalnya suka sama tokped terus gasuka lagi karna ada problem waktu beli oats yang tiba tiba harga naik sendiri. Dan sampai saat ini jadi suka sama tokped promonya cangtip bngt beda sama apk sebelah yang promonya cuma ditanggal dan akun tertentu ?? semoga dipertahanin ya tokped :) dan banyakin promonya juga xixixixi","5"
"Amanda Aurel","Asu emang orang gue minta batalin pesanan malah diproses pesanan dasar costumer service nya bukan orang melainkan bot jadi gk bisa nyelesaiin masalah nyesel gue belanja disini","1"
"Margaretha Desi Trisulistiyani","Upload id utk klaim refund koq hasil uploadnya nggak sempurna? Tertulis di s&k berlaku menyebut hasil upload harus jelas & dpt terbaca, jika apknya tdk bisa upload sesuai kenyataan, bgmana s&k tersebut bisa dipenuhi?","2"
"Moh Nizar Ainun N","Kok trouble ? Mau buka pesanan nggak bisa malahan ? Kenapa ini tokopedia sekarang 15:25 rabu 2 juni 2021 ?","2"
"Rinaldi S","Tokopedia emang beda sama yg lain ?????? 1. Points bisa langsung dipakai 100%. Beda sama Shopee, points cuma bisa dipakai 25% dari total belanja. 2. Jika pakai kupon dan pesanan batal, Kupon juga ikut balik. Beda sama yg lain, kalau pakai kupon dan pesanan batal, kupon malah Angus. Mantul lah ??????","5"
"Muhamad Angga","Kecawa apk ini masa barang belum sampe di apk nya udah nyampe baru kali ini ngalami kaya gini ribett dah","2"
"Dihafizhkan aja.","Traktiran Pengguna Barunya legit Nyesel beli yang Rp0, harusnya manfaatin vouchernya aja but it's alright. Fee Power Merchant 1.25% okelah, tapi kalo ikut Bebas Ongkir nambah 2.5%, ??. UI dan UX-nya mantep parah, toko Oren lewat jauh. Customer care? Nanti dulu.","5"
"Meme Juarsih","Aplikasi ini bagussssssss pisan banyak sedekah nya semoga makin sukses terus maju yg beli makin banyak sehat selalu terima kasih banyak tokopedia","5"
"Daily Ummina","memudahkan kami pengguna kredivo, semoga makin banyak merchant yg mau pakai kredivo","5"
"Paus Surabaya","Bolak balik Beli pulsa Telkomsel di tokped masuknya lama banget..parah dah","1"
"Sayo Yonasta","Aplikasi belanja online yang terpercaya....aku puas belanja disini.","5"
"Novan Nur Romadlon","Nyesel banget donlod apk ini. Baru donlod udah pesen barang pake vocer katanya pengguna baru. Giliran udah dibayar transaksi batal.","1"
"Zaki Chan","Saya pengguna toped lama, dan akhir nya kecewa, ketika akhir akhir ini pembayaran melalui bri syariah selalu dalam perbaikan, sedangkan yang lain tidak, saya tanya ke cs malah disuruh pakai metode pembayaran lain, KECEWA BERAT, BUTUH TRANSAKSI CEPAT MALAH LAMBAT","1"
"none none","APLIKASI BAGUSS BANGETTT! SETIAP BELANJA GAPERLU BAYAR ONGKIR SAMSEK! BIAYA ONGKIR DITANGGUNG TOKPED + DAPET CASHBACK 25% DONG ??. Berkali kali dah blanja di tokped gapernah bayar ongkir karena banyak diskon +cashback + gratis ongkir","5"
"Kujang Rompang","Maaap turun bintang, kok pilihan panen telur untuk pilihanntokpnpoin sudah tidak ada yaaa? Mohon penjelasannya, ada nya diskon 10rb doang","2"
"aru idris","Parah.. pengalaman pertama pesen pake promo pesanan gak dikirim sama toko alasanya nunggu barang dari gudang padahal di dekripsi barang READY.. sampe otomatis dibatalin.. pesen ulang pake promo eh. Malah dibatalin langsung sama system alasannya melanggar t.c Lah trus gunanya promo buat apaan.? Kan promo bukan saya yang minta tapi dikasih. Kapok pesen di tokopedia...","1"
"PPA 241 SYAMROXY REZA BW","Tokopedia memang terbaik.gratis ongkir GK seperti shoope. dan yang terpenting banyak promo. terimakasih Tokopedia. cinta dan bela produk Indonesia","5"
"femmy irhamna","Sangat bagus untuk transaksi belanja online dan tip top up kartu uang elektronik secara online di aplikasi Tokopedia","5"
"Asep 911","toko online paling terpercaya dan memberi kemudahan bagi usernya","5"
"Rifai malehoymotoVlog","TANGGAL 8 BESOK mitra driver gosend sameday menyatakan akan off bid massal dikarenakan ada perubahan skema pendapatan yg dinilai bagi kami makin mencekik......semoga ini bisa jadi perhatian untuk para cust tokped yg biasa menggunakan layanan gosend sameday untuk tidak menggunakan jasa dari gosend sameday ditanggal tersebut.....ini adalah bentuk keluh kesah kami yg selama ini ga pernah didengar langsung oleh pihak aplikator.....","5"
"Isti Yuliani","pembayaran sdh terverif. lalu dibatalkan sistem. gajadi kepake tuh voucher potongan diskon dan hangus haha","3"
"happy blessed","Alasan utama pake toped krn payment bs via OVO. Dulu pake e-commerce tetangga trs pindah krn toped bs OVO. Stlh menjadi GoTo kayaknya OVO bakal dikick dan otomatis aku juga ikut out... Saran aja, dicompare antara OVO vs GoPay mana yg lebih populer dan lebih banyak pemakainya Jadi kasih bintang 3 aja krn untuk paymentnya bakal gak nyaman seperti OVO","3"
"Febrina P","Gratis ongkir banyaaak. Cancel barang juga mudah (sblm dikirim penjual) in case ada kesalahan jumlah, alamat, dsb. Best deh??","5"
"MWS Justin","Ngebak gk ada gambar bagai mana kita mau tau barang yg kita cari kloq gk ada gambar nya tolong di perbaiki secepatnya","1"
"ARCHELAUS","Pake promo ko dibuat bingung untuk lacak paket..hanya bolak balik di tempat itu aja..kapan nyampenya...payah dah","1"
"Dwi Wisnantha","Gratis ongkir sih gratis, tapi ini ngebuat pelapak ngakalin di berat produk nya yg berat barang di bawah satu kilo jadi 2 kilo keatas dengan alasan kena volume barang padahal barang yg di beli 1 dan itu kotak kemasan barang yg dibeli juga sudah di desain dan di ukur volume nya agar aman dan shipping banyak sungguh kejam pelapak di Indonesia","1"
"dimas mahendra","Saya kira semenjak gabung dengan gojek, dapat memberikan kesejahteraan lebih para mitra gojek. Malah mau ngebunuh driver gojek secara halus. KAPITALISS!! MANA YG KATANYA KARYA ANAK BANGSA!","1"
"Ana Putra",".apk nya bagus banyak gratis ongkirnya...dan UI nya mudah dipahami","5"
"Deni Denz","Aplikasi payah, tolong jangan download aplikasi ini, karena di verifikasi nya lambat, sehinggal barang yang di inginkan, di batalkan karena estimasi pembayaran sudah lewat dari wktu yang di tentukan, saya merasa kecewa dengan aplikasi ini, transaksi mudah kentut.TOLONG JANGAN DOWNLAOD APLIKASI INI DARI PADA KAMU MENEMUI KENDALA SEERTI SAYA, COBALAH PROVIDER LAIN SELAIN TOKOPEDIA YANG TIDAK NYAMAN !!! TERIMAKASIH","1"
"Edi Supriyadi","terimakasih tokopedia saya suka ..proses cepat dan mudah dalam berbelanja online","5"
"Nanatsu No Taizai","Makasih tokopedia sudah memmberi kemmudahan dalam bertransaski. semoga kedepannya aman nyaman dan semakin berkembang","5"
"Oktopriyadi Eka K","Aplikasi belanja online yang sangat bagus. Caranya gampang cepat dan aman.","5"
"Kucing Tutu","Apk nya ga buruk, tapi seller nya yg buruk. Banyak bgt yg slow respon, banyak bgt yg udh ga aktif bertaun"". Saran aja sih kalau yg udh ga aktif tahunan gitu mending dinonaktifkan tokonya biar produknya ga penuhin highlight apalagi kalau spam, ganggu bgt. Thx.","4"
"Mokhamad Rochmat","Selamat pagi,, knp habis update kok malah gk adh gambarnya, kemarin masih normal"" aja knp sekarang gk adh gambarnya ????","4"
"Reva Sehonk","Saya tidak merasa transaksi dan berlangganan ovo ces dan ovo poin saya terpotong solusi tidak ada jawaban cs ga jelas, hati"" untuk kalian semua. Kalo bisa unistall aplikasi ini, pindah ke aplikasi lain.","1"
"Muhasim Saiful Qohari","Sangat membantu dan simple. semoga ditingkatkan lagi pelayanannya.","5"
"nurlita rahmawati","Ngajak orang rumah beralih ke tokped. Tp saat menggunakan promo 0rupiah di masing"" akun baru org rumah malah gagal 2. Dengan alasan kesamaan penyalahgunaan terdeteksi dengan akun aku. Lah kita daftar masing""pke nomor pribadi masing"". Cuma untuk alamat memang sama dr akun 1 dengan lainnya karena masih 1 kk. Hadeuh... tokped sini main k rumah tim kamu. Biar liat faktanya. Tau gtu gk akan aku rekomendasiin ke keluarga sama org tiktok, twiter dll. Mengecewakan. Tokped pergi aja sana","1"
"Michiel de Ruyter","efesien untuk belanja, tetapi harus diperbaiki untuk seller nakal, agar dibersihkan/di blokir/dihapus , agar pembeli 1, tdk tertipu, 2. saat cari barang yg dibutuhkan lbh effektif, tidak sampai ribuan seller yg muncul , setelah dipilih ternyata toko sdh tidak aktif 3 bulan, toko dalam pengawasan dll, capek dan menghabiskan waktu saja, kasihan seller yg baik dan jujur, malah bisa tdk terlihat oleh pembeli","5"
"Bunga Prameswari","3x saya transaksi di tokped di refund terus. Kesel gak? Kesel lah. Kalo barang gk ada atau gk ready tuh d cantumkan, Gk bisa di check out!!!","1"
"ecal seventeen","Ongkirnya Mahal, membebani kami yg di wilayah timur untuk belanja. gak rekom.","1"
"endang ari wahyuni","tokopedia ga amanah saya udah bayar tp dibatalin sama sistemnya, dana nya katanya segera dikembaliin tp tidak dikembalikan jg, nyesel belanja disini, tlg ya tokopedia nyari uang itu susah kalau bisa fikembalikan secepatnya tks..","1"
"Kamaluddin Udin","Sejak saya bergabung belum pernah mengecewakan dan barang sesuai pesanan","5"
"Fathu Rumaf","Aplikasi nggak jelas, pelatihan yang sudah selesai dari bulan april sampe sekarang blm dpt seritifikatnya??????","1"
