,nama,ulasan,label
27,Denny Ahmad,solusi pesan nomor ganti mesan proses kirim nomor telpon hubung beda solusi,1
28,Zulfa Umm,marketplace bantu kasih kasih,1
29,Candra Mulya,iming gratis ongkir belanjain langgar gaada aneh nyangkut duit,1
30,Nurul Izzatil Ulum,suka app gampang senang fitur retur tarik sayang pelapak belah variasi overall kasih kasih tingkat,1
32,Andri Setiawan,kecewa,1
33,Silalis,nanya chat admin tpi ganggu rumah mulu gagal ribet segal mulu pdahal udh buka akun hrus mulu lgi tingkat lgiii sya bintangnya,1
34,Suwandi Jaya,traktiran beli bayar cod,1
35,Chef william Hermawan,aman nyaman transaksi kejelian pilih tokodan codkarena cod celah curangtrsnsaksi dana aman ntransaksi virtual syarat prosedure takut modus nakal,1
36,Eko Widodo,kirim kemarin pesan brgtgl mei estimasi tgl mei juni sampaipaket jne reguler tingkat layan mitra langgan kecewa,1
37,Eric Susilo,jual responnya lambat solusi cs relevan,1
39,Layla Masruroh,kemarin beli aplilasi datnag kk,1
40,Rian Hardiansyah,mantap dukung olshop anak negeri jaya,1
41,Rendy Kim,bagus banget wajib nyav,1
42,I idin,goodd aplikasidah pake lgi mao cb lagisemoga limpah programnyatq,1
43,Muhammad Taufiq,gratis ongkir proses pengirimannya sampainya,1
44,Haris Sulistyo,bagus banding orange ongkir gratisnya cma gosend karna event merger goto kecewa seller bal buyer jkt kasih gratis ongkir gosend,1
46,Deny Syahputra,sinyal full wifi sinyal putus uninstall bgtu,1
49,Saepur Rohman,kasih kasih gratisannya love,1
50,Sri Mulia,menu komisi sebar link jual ngg moncul menu,1
51,Reisha Ayudia Syafa,bagus banget cashback tingkat kualitas,1
53,Alpin Adi,muncul gambar buka,1
54,natalia Puspasari,produk bagus nama produk tulis image product prize tolong cantum nama produk harga cod gratis ongkir tolong gratis ongkir cod,1
55,Sylvia Natalia Panggabean,pilih bayar mudah percaya mantap,1
56,Todd,coba karna support lokal sesuai komplain suruh ongkir rugi buyer kecewa pokok mending oren,1
58,Andy Atung,senang tokopediabyk promo cash back nyaini bukti nyatasaya beli tuker poin cashback pediai love,1
59,Jusdi Civil,bayar estimasi gerak lacak tipu pakai kupon promo,1
60,Reza br,chat balas alami komplain link kaka kasih ketik klik,1
61,Gigih Elbarca,kasih gratis,1
62,3 Har,bagus aplikasinyasedikit kadang ganggu rumah,1
63,Eli Rasyid,traktiran susah dipakainya promo gagal diskon ribu yea oke sen dipesan kemarin nyangka cepat bangeeeet sukses,1
64,Bagus Hand Pray,aju komplain dana sellerpadahal seller salah kirim kirim dana rugi,1
66,Tomi Wibowo,jual tanggung pesan cuman diplastikin doang rusak parah penjulnya pedulikalau shopee kasih bubble wrap dasar jual tanggung jual tanggung mlo jual layan manaburui bangetmasa brang ancurmana peduli awas mending pindah shopee ajaterpercaya aman jamin,1
67,Mulyo Arpena,gila bener ongkir jerat leher beli olie belah plus ongkir oli official store,1
68,Peduli Muslimin Asia,tawar layan telp kendala schedule janji telat menit solusi ganti provider helloo pake provider checkout marketplace lancar prlu sebutin brand marketplace berlarut skarang checkout tokpedcare solusi lampirkan foto pdahal skrinsutkan,1
69,amirvan Kalidupa,bantu selesai ajar skil akademi prakerja sertifikatnya bantu akun prakerja tulis ulas,1
71,andri sudarmawan,fitur cod metode bayar komplit tolong developer sempurna persulit beli milik kartu atm sulit pilih cod kota kalimantan mewakilkan fitur cod terimakasih,1
73,Yogi Ramadhany,kecewa sistem tokopediatokonya sedia fitur cod milih bayar fitur codnya coba produk fitur cod bisatolong cepat atasisangat menggangu beli,1
74,mas pramono,manfaat butuh tersediaproses mudah kirim cepattq,1
75,MUHAMAD Fajar AGISTIAN,bagus murah error kirim cepat jual jujur wajib pake,1
77,Lastri sri Suhartiwi,semangat jaga kualitas sesuai pesan,1
78,Muhammad Yamin,ulas ratting beli latih prakerja lapor skill akademi ulas cek proses sertifikatnya kasih kasih,1
80,Z sanjani,buka alas koneksi internet,1
81,Rini Anjelika,tolong layan bagus mulu gtu,1
82,Patrik Yusma,lot banget ngisi paket data jam shopee beli paket data menit transaksi dikecewakan,1
83,Wahi din,bayar kredivo cepatmoga jaya tokopediaamin,1
85,Akatsuky Lim,tolong proses retur ongkir estimasi,1
87,Sandy Bangun,lancar ongkir rangin harga mahalan ongkir mantap,1
89,Azma Gusneti,mantaaap bngat order lansung respon cepattgk sma seblah jga respon order payaahhh,1
90,wardah hanifa,instal ngga fitur point keriset,1
91,Apriliana Sari,gilak fitur panen telur pulsa gratis bayar pokok best,1
92,Ahmad Tabrizi,seller kurir kecewa kirim,1
94,Dian Tri Setyo Wibowo,bantu,1
96,Janessa Meliani,well suka gasuka karna problem beli oats harga suka promo cangtip bngt beda belah promo ditanggal akun dipertahanin banyakin promo xixixixi,1
98,Margaretha Desi Trisulistiyani,id klaim refund koq hasil uploadnya nggak sempurna tulis sk hasil baca apknya sesuai bgmana sk penuh,1
99,Moh Nizar Ainun N,trouble buka pesan nggak rabu juni,1
100,Rinaldi S,emang beda points pakai beda shopee points pakai total pakai kupon pesan batal kupon beda pakai kupon pesan batal kupon angus mantul,1
101,Muhamad Angga,kecawa nyampe ngalami kaya ribett,1
103,Meme Juarsih,bagussssssss sedekah sukses maju beli sehat kasih kasih,1
104,Daily Ummina,mudah kredivo merchant pakai kredivo,1
106,Sayo Yonasta,terpercayaaku puas,1
109,none none,baguss bangettt gaperlu bayar ongkir samsek biaya ongkir tanggung dapet cashback blanja gapernah bayar ongkir diskon cashback gratis ongkir,1
110,Kujang Rompang,maaap turun bintang pilih panen telur pilihanntokpnpoin diskon doang,1
111,aru idris,parah alam sen pake promo pesan kirim alasanya nunggu gudang dekripsi ready otomatis dibatalin sen ulang pake promo dibatalin system alas langgar tc promo promo kasih kapok sen,1
112,PPA 241 SYAMROXY REZA BW,terbaikgratis ongkir shoope promo terimakasih cinta bela produk indonesia,1
113,femmy irhamna,bagus transaksi tip top up kartu uang elektronik,1
114,Asep 911,percaya mudah usernya,1
115,Rifai malehoymotoVlog,tanggal besok mitra driver gosend sameday off bid massal ubah skema nilai mencekiksemoga perhati cust layan gosend sameday jasa gosend sameday ditanggal tersebutini bentuk keluh kesah dengar aplikator,1
117,happy blessed,alas utama pake payment via pake ecommerce tetangga pindah stlh goto dikick otomatis saran dicompare gopay populer pemakainya kasih bintang paymentnya nyaman,1
118,Febrina P,gratis ongkir banyaaak cancel mudah kirim jual case salah alamat dsb best,1
119,MWS Justin,ngebak gambar cari kloq gambar tolong cepat,1
120,ARCHELAUS,pake promo ko bingung lacak pakethanya bolak ajakapan nyampenyapayah,1
121,Dwi Wisnantha,gratis ongkir gratis ngebuat pelapak ngakalin berat produk berat kilo kilo alas volume beli kotak kemas beli desain ukur volume aman shipping sungguh kejam pelapak indonesia,1
123,Ana Putra,bagus gratis ongkirnyadan ui mudah paham,1
124,Deni Denz,payah tolong verifikasi lambat sehinggal batal estimasi bayar wktu kecewa transaksi mudah kentuttolong downlaod temu kendala seerti coba provider nyaman terimakasih,1
125,Edi Supriyadi,terimakasih suka proses cepat mudah,1
126,Nanatsu No Taizai,makasih memmberi kemmudahan bertransaski aman nyaman kembang,1
127,Oktopriyadi Eka K,bagus gampang cepat aman,1
129,Mokhamad Rochmat,selamat pagi knp habis adh gambar kemarin normal knp adh gambar,1
130,Reva Sehonk,transaksi langgan ces poin terpotong solusi cs hati unistall pindah,1
131,Muhasim Saiful Qohari,bantu simple tingkat layan,1
132,nurlita rahmawati,ngajak rumah alih promo rupiah akun rumah gagal alas penyalahgunaan deteksi akun daftar masingpke nomor pribadi alamat akun kk main rumah tim liat fakta gtu rekomendasiin keluarga tiktok twiter kecewa pergi,1
133,Michiel de Ruyter,efesien seller nakal dibersihkandi blokirdihapus beli tipu cari butuh effektif ribu seller muncul pilih aktif awas capek habis kasihan seller jujur beli,1
136,endang ari wahyuni,amanah bayar dibatalin sistem dana dikembaliin nyesel tlg nyari uang susah fikembalikan cepat tks,1
137,Kamaluddin Udin,gabung kecewa sesuai pesan,1
138,Fathu Rumaf,nggak latih selesai april seritifikatnya,1
140,Ninik Sugiarti,pesan pesan gambar bagus sesuai beranta habis nggak suka,1
142,Galuh Fernando,cinta produk negri ongkir mahal bangeetpadahal lazada murah ongkir,1
143,Dana Perdana,bagus sen lancar,1
144,NINU FARM,sebenernya baguscuma seringkali ongkir kurir beda updatealhasil seller nombok sistem ongkir terimakasih,1
145,Indah Oktata,barusan nyobaaaa ternyattaaa waaahhh kenpa nggak pake promonyaa,1
148,Awas Pala,bagus promo gabung tampil nyaman banget,1
149,Abu Abdurafi,aman muas apl bagus,1
150,muzaka lathif,best wes promo gratis ongkir jne,1
151,Fajri,bayar pesan batal otw uninstall nyaman shopee,1
153,Deani Novriani,suka banget pokok mantap,1
155,Angga Mulyana,hi bayar cod gratis ongkir mantap,1
156,ran the,oke coba bagus oren,1
157,Aris Ries,bantu tokopediabelanja lengkapharga saing seller responsifbebas ongkir dancashback batas token plnpulsadllterimakasih jaya sukses,1
159,Akmad Yusup,ecommerce diskon tarik admin cs layan solusi paket hilangdicuri ekspedisi,1
160,Andi Paprika,beli pake voucher dapet kotak kado batal manipulasi transaksi transaksi legal kzl,1
161,Arman Susilo,promo transaksi promo gagal pdhal transaksi promo tawar promo uninstall alih oren merah,1
162,Mutiara Erza,bngt anjir make tpi bingung log akun allahu jaring hrs bnr bnr kenceng pake wifi sush bngt,1
163,Zona Altara,fitur live chat cs mudah komunikasi kendala pilih komplain selesai,1
164,SY Official Youtube Channel,semennjak ganti hape poco sistem miui based android alami putus koneksi internet internet normal solusi merestart refresh feednya androidnya miuinya tokopedianya androidnya hpnya mesti,1
166,indah kurniasari Sulaiman,mypawparentshop senang layan cepat produk bagus packaging rapi,1
167,Julyan Rafi W.S,kasih kasih mudah user interface simple friendly potong ongkir kupon poin tukar itokopediasukses,1
168,reni umiyanti,respon peiriman komfirmasi beli,1
169,Yogi Firmansyah,apps nyaman lola sayang pakai topup potong uang,1
170,Ummu Hanifah Official,kecewa banget keluarga beda akun alamat langgar wajar rumah alamat keluarga puluh tua anak paman bibi dsb salah,1
171,Zulana Adha Rianti,terimakasih langgan kerenn,1
174,Ria Ardhiyaningtyas,kasih promo bayar pesan batal alas melanggan sk niat promo yasudah mending kasih kasih promo hasil kecewa,1
175,Setia Budi,kasih kasih sistem manajemen kembang tahan,1
176,Hilyani Saja,anak bangsa nyaman bayar tagih dsb promo giur asli pancing data,1
177,Aulia Rahman,maaf wenang info down buka etalase pelapak sempurnafoto tampil jaring bagus buka ganggu kasih kasih tindak,1
178,Marwita XII KI 5,mantap banget peromo recommended fitur diperbarui nyaman thanks,1
179,Fitri Ani,daftar gratis ongkir gratis lgisukses sellu tokopediaterima kasih,1
180,Rohema Amelia,maaf klok masukin telfon klok lupa maaf,1
181,Andi Gigih,kasih bintang maaftolong tingkat donkdi kasih dana kredit tokopediakhusus tokopediakayak ambil gitumakasih,1
182,dedi friatna,cod opsi codnya,1
184,meida kurniawan,gratis baaaaaahhhhh tipuuuu tipuuuu kauuuu nyeseeell,1
185,Muhammad Zie Fajrin,pake fitur tuker xiaomi mulus hargain temen nawar lepas,1
186,Fastnet Wifi,bagus sekian pake bantu dana pay later,1
188,Safiira Rahmah Linisa,pesan batal langgar tc uang bayar hilang ngeselin banget beli banget sekolah uang kumpul,1
189,kartika Apriliani,terimakasih mudah mudah pesan kirim langgan,1
190,Arief Fajar R,waw harga rupiah kasih kasih,1
191,Imam Taufik,oke jaya tolong fikirkan kirim papua under indonesia timur murah,1
192,kahfi collection,senang hadiah baruterima kasih hadiah,1
193,Bima Hartono,bantu harga jangkau kirim cepat gosend,1
194,Mughie Eka pratama,keluh tanggap mending olshop bantu keluh konsumen,1
196,Husnal Khat,terimakasih suka tampil ui banding ecommerce,1
197,RHAKA ADITYA RESWARA,bagus tampil interface nyaman pandang,1
198,argo buana,beli ditikung beli deal jual cekout dana dicekout beli saran tim dicekout beli dicekout beli rugi beli deal jual serobot beli,1
200,Faridah Nurindah,tolong kirimin banget komplen adeuhhhh,1
201,Shido Itsuka,ongkir mahal bayar bayar indomaretalfamart kirain beneran traktiran bayar,1
203,Ali Imron,lengkap harga sahabat kualitas bagus,1
204,Rizkiana Mei Arofah,market place bantu transaksi bayar tagih terimakasih,1
205,Putra Purbaya,senang sx serba mudah cepat,1
206,benkbenk yraone,sihudah dowloat pakaitiap kabar slalu dowloat lgi lagitolong benerin,1
207,Faishal Nawwaf,layan muas paket darat cepat,1
208,charmi wati,lumayan bantu promo tgl,1
209,Iqbal Firdaus,promo bayar rekomendasi banget dhh,1
210,NengSanti,jatuh cinta pindah langgan kaya marketplace belah ringan banget berat promo cashbacknya gratis ongkir,1
212,Mega Arissa,best pokok tunggu traktiran trims,1
213,060 _ Moh Roisul Basyar A. Z.,dibatalin gara kupon promo bgst mending kupon promoan nggk dipake saldo gue endap saldo emang ajng bayar tersulit,1
215,Mahfoed Anwar,kasih bintang saran bsa pilih kirim jngan seprti oren birutidak bsa pilih jsa pengirimankurir,1
216,firda aviyanti,puas beli sayang ngasih diskon gratis ongkir potong harga,1
217,lastono santoso,kirain kelola mending tutup telp aktiv jam telp anjim sebenernya untung app scam tipu sorry kasar pantes tipu,1
218,Dhakir Desrosier,beli pulsa akun pakai kupon melanggardi chat balas langgar malas pakai,1
219,Nakaumi Matsuri,aktif pake promo better udh gratis ongkir pake gosend kadang dibutuhkn stock anabul abs bebas ongkir anteraja respon kurir paket ku udh status nunggu pickup kurir nunggu kurir pickup seller doang nyampe better sicepat udh nyampe beli,1
220,Djit Fung,aprikasi bantu sibuk rumah,1
221,Paulus herry,tingkat layan langgan percaya utama langgan,1
222,Andi Setiawan,tahan puas langgan kaya ecommerce belah order ribet banget isi data alamat bener tetep order gratis ongkir batas terimakasih friendly user kecewa puas maju blokir seller penipuabalabal aman nyaman percaya thanks,1
223,Ditta AprlMld,bayar batal mending beli lagideh,1
225,Muhamad Hasil,mantap kasih kasih,1
227,Muhammad Yusuf,siiiap saran ongkir langgan senantiasa,1
228,Cecep Mulyana,beli video unboxing jual video packing foto real pict salah kirim,1
229,Abdul Kosim,aneh karna keluarga order alamat bisaselalu batal kanberarti rumah akun belanjasedangkan rumah,1
230,Maju Terus,kirim jam hbis estimasi sistem lelet batal otomatis paket kirim tetep antarkan beli kurir gara gara sistem resimu lelet jual rugi saran bajar shopee resi bener bener cepat tangan kurir jam notifikasi kirim adu chat transaksi langgar hbis kirim bner pyah,1
231,Dicky Martin Project,program cashback jt gimikk cashback sayaa nila proses alas syarat akun daftar transaksi shoppe dukung produk bangsa kecewa ambil hak konsumen cashback nila alas sesuai syarat sekian terimagimik,1
232,iLab X,fitur link langgan tagih shortcutnya susah mencarinya sederhana kasih kasih,1
233,Hafiz Muliadi,diskon voucher,1
235,lantikadewi nugraha,suka karna karya anak bangsa fiturnya sangan mudah proses beli,1
237,Budi Sby,kasih kasih dana batal kirim jamin konfirmasi jalan sesuai harap,1
238,Intan Nuraeny,terjelekpenipu bantu konsumen tlg ukembalikan dana pdhal kode briva kirim dibatalkanjgn blnja kerjasama tipu,1
240,Dwi Alghani,diskon ongkir kurir alhasil nyampe tera kurir nama,1
241,tina gtr,kecewa harap shopee kecewa,1
242,Rika Rahiim,beli chekout saldo saldonya ambil pakai transaksi uang rugi,1
243,Dede kent,mudah lancar,1
244,Entah aku siapa,admin mantap layan tanggap santai,1
245,bramantyo yoga,mending ngom gratis ongkir tulis ajapotongan ongkirbiar dapet sumpah serapah cust,1
246,sulton abdurachman,kecewa kirim option instant seler sedia orderannya batalin option next day seller konfirmasi besok besok ambil jasa kurir kirim sesuai option tawar cantumkan kasian konsumen bodohi kasih kasih,1
247,Mega Riswati,turunin rating peringkat promo diskon pakai sya tf sisa tf batal otomatis alas batal blg indikasi curang voucher tokoed sendri kasih sya pakai saldo hnya dana tarik rekening top orange,1
248,Parel Sianipar,transaksi mudah dipesan selamat,1
249,Eka Yuniarti,bagus bertanggungjawab senyaman kupon gerat ongkir kirim super cepat packing amannnn makasih bagus fitur srmakin mudah,1
250,Eko Agus,layan tingkat inofatif,1
251,Maulidya Putri Sutanti,aneh ngambil promo pesan dicancel langgar nggak ngapangapain shopee mantep,1
252,Dewi Sekar,suka ide menetaskan telur gemes banget tolong adain game seru,1
253,Anto Ahmad,poko promo gratis ongkir slalu slalu,1
254,Andrian Garnier,penguna sudan layan responnya tlp tokopediacare selesai cepat tope gratis ongkir gantung level gratis ongkir gantung level beli respon jual salah sellernya,1
255,Indra Nur agistian,bagus promo diskon cash back cuman depet gratis ongkos promo,1
256,Tria Pratiwi,sumpah kecewa banget gara alamat akun sen batal shoppe kekgitu ttp kasih promo lgn keluarga gua kirim alamat aneh bangetttt,1
257,Nur Fitria 0408,baharu tampil warna ukur tulis layout warna tarik bosen konsumen cari beli pilih filter pejualan terimakasih,1
258,dweditz 14,make pesan dibatalin ktny ngelanggar pdhl akun gada identitas beli masker wajah cape maubangga indonesia,1
259,Neng cahyati Dewi,barubaru ngedownload udh gratis milih sesuai menu plus gratis ongkir terimakasih,1
261,RAKIZHU,fitur paylater campur tangan ayo adaptasi ditur shoopepaylater,1
262,Setiawati Irwanto,uang refund hubung customer service hasil ubah semenjak pakai,1
264,elyan Fadlil,ngeblang putih bayar nyaman bintang ngeblang mulu rubah bintang,1
265,novianita marini,cashback point,1
266,Dyah P. Ningrum,sekarag pembayarannya nunggu sabtu minggu tgl merah verifikasi bayar pakai virtual account proses beli kirim bayar jam resiko beli batal uang ribet ganti sistem gtu orange merah sistem verifikasi cepat,1
267,Charla Nanda,betapa buruk layan konsumenyang andal robot chat selesai cari solusi sulit konsumen,1
268,Nurul NU Official,syukaa terima batas kirim,1
269,Astra D.M,bug search pilih top up grab driver merespon halaman terkadang force close,1
270,Prawira Kencana,berat berat,1
271,Muhamad Junaidi,jajar promo gratis ongkir bayar batal otomatis alas langgar syarat langgar promo gratis ongkir anggap langgar tcstrategi marketing,1
272,Bagaskara Irvan,service muas dikomplain maju goto,1
273,J Harris,cs tanggap menit hubung cs menit,1
274,K-one music,warga negara indonesia wajib menggunkan indonesiabuat pribadi fitur cod ditokopedia transaksi bantu sekaliapalagi lokasi daerah dipelosok susah cari barangbarang beli ditokotoko daerah terimakasih tahan ongkir murah harga jangkau banding,1
275,Andika Yosi W,best pergi mall tekan ditokopedia diskon traktiran cashbacknya pokok,1
276,M CHAYUS,nyaman os lengkap pilih kurir mantap kualitas produk sesuai haragthanks,1
277,Risky Wp,best sanggat bantu fleksibel kecewa,1
279,totoro ghibli,adain tema item tolong betah buka makasih kasih kuponvoucher diskon bener apply bayar tautau batal saldo kmrn saldonya gabisa beli gaada pilih bayar pake sistem tolong dibenerin,1
280,Junaidi Junaidi,kasih kasih beli jazakumullah khair,1
281,Aura Ifalia,transaksi batal beli nama alamat keluarga,1
282,Laeliya R,pakai promo salah tolong langgan,1
283,BAHTIAR RIFKI JAMIL,nyoba cek map kirim karo kirim kasih full star,1
284,Andri,sayang tetangga gratis ongkir minimal xxxxx tingkat kumplit bintang full,1
285,muchlish along,pke tunggu transaksi amansaya nyaman tenang berbelanjaselalu sukses,1
287,Mulyaningsih Ningsih,ikutmasuk belanjaan manfaat ku minat terimakasih,1
288,Daffa Zuhdan Naufani,emang top layan bagus banget sempet ubah nomor gantiin nomor aktif benerbener ngubah nomorku log kasih kasih,1
289,Zendy Rohim,contact email cstokopedia aktif bantu mempermudahuser alami risk transaksi,1
290,Uswatun Khasanah,promo nggak php doang vouchernya gg dipakek langgar gratis ongkir mayahlah minggu drpda oren event promo real promo zonk,1
291,Hafifah Alviani,produk gratis terimakasih pdhl udh minggu hangus hadiah rp ku pkai pakai,1
292,Angga Pranatayana,narik saldo susah proses maling uang,1
293,Mirza Qamaruzzaman,tambahin maksimum beli cod debest,1
295,Dian Rismayanti,bantu jujur keteter,1
297,Fika fitrianesia,suka belanjanya milik bangsa anak bangsa anak bangsa bangga luas cinta produk lokal cs banget menunya mudah paham transaksi aman suka suka banget bener ngecewain beli,1
298,Pengguna Google,tokopedi bayar bayar via transfer bank bayar bayar terimakasih tolong up,1
299,Tazkia Ulfa,suka tampil icon keranjang gampang gtu,1
300,Elida,bekerjasama bagus loading cepat mudah mengoperasionalkan harga jangkau kasih kasih sukses,1
301,Tonny Setiawan,usaha fairplay jujur sesuai pending pembyaran kasih kasih,1
302,Bahri Saripul,terimaksih pediayg kirim cepat sesuai postingan topedsalam sehat,1
303,Mega Eviyanti,transaksi sulit pake va bris susah systemnya mudah pilih suka simpel pokok balikin transaksinya titik,1
305,itshaemm,app bagus cuman tolong pakek gratis ongkir pake anter tolong ekspedinya benah ngaret,1
306,Lembayung Nara A.W,kereeennntraktiran keren bgtudh rp ongkir lgsukses,1
307,This is MUN,cashback sesuai tulis kecewa,1
308,Barki Saputra,payah slesai aniversary promo gratis ongkir ubahcm bsa gosend instant sameday ajcod bisaloss,1
310,Wiji Ls,daftar pakai nomor terang nomor daftar data isi pakai data isi data takut transaksi nomor pakai sms notif,1
311,Muthmainnah J.Abdullah,best gratis ongkir extra kupon diskon harga murah banding ecommerce laindah,1
312,Pengguna Google,bagus cashbacknya mudah transaksi make gagal trustrus ganti ulas udh edit ulas transaksi edit ulas trustolong lag,1
313,Vianz01 ChanneL,esamsat bekerjasama provinsi bal,1
314,Silmi Salsabila,suka layan customer servicenya fast respon sopan bangettt,1
315,Saddam Hussin,batu tipu hati hati jual tipu bantu ngadu berteletele bela jual tipu,1
317,KingS,kasih batas menit transaksi kasianbyang tutup pake kaya,1
318,Satrio Juniyanto Prayitno,promo rp pakai hilang diklik beli langgan tampil tmksh,1
320,Iwa Kartiwa,kecewa alamat terima cek pesan ulang haul jkt beli,1
322,Alfian Bagus,akhirakhir suka banget pakai bantu gratis ongkir bantu banget tolong tahan fitur belah pakai voucher gratis ongkir syarat ribet banget harut top up pakai pakai jenis bayar,1
323,jemmi abdullah3,sebenernya diskon promo menang promo boong kalah kreatif ketimbang tetangga belah,1
324,Muharrzyan,hancur respon inikalo bekerjalahdi rumah ajamerugikan,1
326,Bang's Obenk,layan parah pusat bantu bot kecewa install,1
327,afrol tripathi,ribet banget uang macet saldo ambil gara daftar aktif gilir ubah kasih rim coba foto tolong tolong cerah terimakasih,1
329,Murah Meriah,bayar indi home mudah trims,1
330,marei gunawan,kecewa susah banget akun nomor tolong bintang,1
331,AswinDiio,suka marketplace ribet gratis ongkirny syarat kyak marketplace belah lambang gratis ongkir minimal bayar via gratis ongkir tetep nikmat gratis ongkir gratis ongkir gabung voucher cashback mantap,1
332,Vebri Saputra,suka banget promo gofood kemarin fitur tukar milik marketplace sayang harga murah coba fitur tukar problem,1
333,Iman Iman,amanah bantu susah amin,1
334,Sinatria,sayang login ganti ngelakuin ubah tolak edit oke dh bantu,1
335,Achmad Soepandi,solusi onlineterima kasih bantu cari adasukses,1
336,Afini 2704,bayar tolong aplnya nyusahin geram,1
338,Sandy Akbar123,persen mesan batal otomatis,1
339,jalaludin,ngebug display tampil reload,1
340,Allen Simanjuntak,transaksi pake voucher refund beli voucher refund mending oren,1
341,Indria Sari,dm tokopediacare dibales ngelaporin produk ngisi link lapor proses kasih bintang treasure tampil wib tv show ku kasih bintang,1
342,49 . Suparyadi 115,mantep pokok coba adain voucher gratis ongkir pake,1
343,Iim Mutmainah,promo diskon bayar pemberitahuan batal otomatis langgar akun promo option promo diskon,1
344,Fridaa Rosalia,niat ngasih diskon niat ngasih promo dbayar dibalikin uang nyapromo diskon smua ilang pgn ngasih mndg males kya,1
345,Hernawan Sedjarah07,mantap pakai luarrrt,1
346,Nur Rochman,kembang kaya susah kli layan model kecewa bngt,1
347,Fernando N,salah marketplace pilih ekspedisi harga murah mudah jual produk user interface simple gampang pokok best,1
350,Halimah Nur,yahbaru coba layan aq bintang,1
351,Nasir Asir,pake shopee kede voucher transaksi batal dana,1
352,rizki purnama yudha,pakai sistem cod suka kaga nyampe pakek sistem cod nyampenya paket mesen tolong ketat sistem cod terimakasih,1
353,Etty Prameswari,kecewa klik muncul gambar hrs buka gilir buka nampak gambar klik,1
354,Siti Amalyatun,pesan nerima status terimagmn mbasaya kcewa,1
356,Tiara Tebo,maaf ganggu kenap beli tolong terimakasih,1
358,Taufik hidayat,makasih buatin belanjaan rumah makasih buatin suport seaht rezeki,1
359,Nur Jannah,mantul terpecaya mudah cepat,1
362,Siti Rohani Sharko,aduh transaksi isi transaksi henti jengkel,1
364,IlhamHelperForces ID,bagus bgtt harga promo ngumpulin points nonton video belah oren,1
365,Murhadi Hadinoto,masya allah belanjaa pertamaa bener gratis gratis ongkir gratis beneeran gratisannya aaminn,1
366,Fernando Lorenzo Wang,pakai lapak belah nyaman nggak ribet ongkir cashback dibanyakin point ajajangan point makasih,1
367,Aan yede Handoko,bantu halikut flash salesaat bayar keterangannya kurir sedia alamat andaparahhpadahal beli kirimnya rmhjadi flash sale motorlaptop ituhoaxsakun kasih payletter lumayan paylater adatp diaktivasi tulisanovopaylttrr aktif sekarangtapi klik bisasueekalo emang ngasih ilangin fitur ovoplaternya,1
369,Hero Labs,maaf rangin bintang karna discreenshot aplikasinyapadahal ngirim transfer ordermohon mincukup menggangu,1
371,Lord Mu'afi,busuk saldo bayar fitur saldo rupiah,1
372,Ahyadi Fauzi,tolong hilang gratis ongkir anterajapercuma gratis pesan molor estimasi ekspedisi lomba lomba tercepattiap pake gratis ongkir anteraja waktulebih bayar ongkir cepat,1
373,trio aprianto,bantu transaksi kasih kasih,1
