,nama,ulasan,label
325,Maulana Razak,cod pilih cod filter pencariannya,0
328,Fajar Andre 044,cod label cod pilih bayar fitur cod,0
337,janglie official,aq nyari jodo jual kecewa aq,0
348,Abi Halwa,menu redo undo jaga jaga pencet undo cari,0
349,Iko Aki,bapukhp eror log gagalpass email sesuaiapp mutu,0
355,agung ariyanto,ngalamin pake voucher udh bayar macem tolak reseller voucher sbnyak uang susah ambil lgi,0
357,muhammad masbuhin,pesan batal ribet pesan pesan orange ajah,0
360,Mul Yadi,pediasaya pesan oli motor sampaiapakah bayar cuman dimenchat batal sepihakalasan tolak bandara,0
361,Firdaono -,rating kurir melabeli kurir jamin mengarahkan beli pilih kurir serius beli pilih kurir next day status tunggu kurir jamin tulis,0
363,Imam Hidayaturrahman,error koneksi hape xiaomi note izin koneksi sdah centang sdah hapus isntal tetep error koneksi minggu teepaksa orange pelapak,0
368,Anna Samula firdaus,sampah kirim test normal oknum beli bodoh mnggunakan brg brg retur pilih kasih jual rugi beli,0
370,Inspi Rasi,sayang dagang nakalnya ready proses batal lantas proses kirim lapor pedagangnya tanggap mampus pindah,0
386,taufiq hidayah,fitur tukar indonesia indomaret error,0
387,??Sai,geblek daftar akun susah ampun paksa uninstall,0
389,Muhammad Farid adzkia,alami transaksi batal nyesal malam dibatalin langgar promo orange mantap indonesia,0
391,Azhari Asriv,ongkir dikit susah dipake banget syarat syarat kaya konsultasi dukun,0
400,Nur Yati,ngumpulin energi panen telur curi curi eggo hedeehh ko tipu atu males uninstal app juang ngumpulin energi telur sebelll bangeettttttt hiiiihhhh tolong kaya kasi nyuri detik dpet telurnya hilang curi heleehh bales tokpeddd,0
405,cour men,bobrok promo batal alas langgar syarat yuukk kawan uninstal pindah shope lazada,0
409,Wisnu Wardhana,pakai ambil promo ngabisin kuota mending uninstall,0
413,Muhammad Nur Hafiizh,tolong metode bayar via bank syariah indonesia bsi mobile banking transfer bank,0
414,siti nurjanah,sedih promo ongkir hangus kirain pake gratis ongkir,0
420,tedi,laptop singkron nomer email bodoh ecek ecek parah kalah belah singkron,0
432,daffadeva chanel,jelekkecewa kemarin plsa sdah iklas ganti niat ngasih rp bener cma gara alamat beda dibatalin sorry uninstal rugi banget rugi kuota rugi duit plsa,0
440,Fariq Kamil,screenshot kode bayar kemarin,0
449,Dede Nandar,akun daftar sandi salah sandi,0
456,Vina Silvia,kode verifikasi smpai nunggu jam klik kirim ulang kode,0
462,Dwi Prihatin,tolong hadir paylater ribet pake paylater ain daftar ribet acc dpet limit saldo,0
467,Ryan ROCK,susah ganti nomer ribet pdahal udh verifikasi id card muka tolak anak ngntddddd,0
477,Maulana Aska,usul food gojeg kalah shoppe food food gojeg nama topfood mengklik jozzz,0
478,Leo Jeremy,unggul voucher freeong xx minggu main panen telur hasil point kumpul mengindikasi pakai voucher ganda identitas pesan batal kesel banget merchant belah suka ngeblok bertanda bebas ongkir extra ongkir tanggung penuh thanks sukses,0
480,Fitrian Restu,nyari cari rebah dirumahterima kasih,0
484,Fajar Intan,promo rp waaaaw maju marketplace indonesia kalah oren,0
485,Master-Mister Jai Ahmad,dibales blabla keluh kirim tkpmesupportmainapps hahahaha,0
487,coky blabla,ayo serius akun susah buka akun loading,0
488,Suyanto Lie,minggu uang refund udh dichat suruh nunggu smpai nunggu boss kapok marketplace,0
498,Wira 256,ngebet banget melulu ribet merger nyusahin drivernya,0
502,Riski Alvian,tolong ketat seller tipu tipu seller estimasi sen dibtokped tanyain seller pesan nyasar papua bukti nyasarnya bales mesennya daerah jkt konfirmasi dri seller,0
503,Mohammad Araffa,kecewa beli tiket tgl barcod tgl email tgl juni karna transaksi loket trsb tgl juni pilih tanggal tgl emg tgl jual seblum tgl kecewa batal tgl payah kecewa berkah jacuk,0
524,Hermansyah Herman,tambahin paylater dongmasa kalah ecomer sebelahyang paylater,0
525,Nur Jamilah Harahap,mayanlah mesti cari buka app,0
533,Lely Ardesi,sihh telur curi cape cape jam buka pake curi curian aneh banget malesin curi tinggal panen ngeselin sihh,0
536,Ari Wibowo,kusutudah tf bayar tolaktrus refund rek salah jaitu duit kemanakan rek antrus duit,0
538,Shabrina Pratiwi,serius bayar briva sttus bayar batal kecewaaaaaaaaaa,0
546,DenyJr Motovlog,semenjak gabung beli goto sejahtera tindas kurir,0
560,Riza Manuela,beli pls promo tinggal bayar tbtb otomatis batal batal promo ilang pls dapet kuota abis jelajah,0
581,Budi Rahmadi,muda mudaan ilmu bermemfaat cari mantappps,0
583,Alwi M Amin,tranfer saldo dompet digital rekening bankmasak saldo terpendam tokepedia,0
585,tatan kusmiyati,jual jual sampah belah,0
588,Git Puguk,tipu bohong hadia juta dowload bohong,0
600,Yenny Fransiska,sedih banget akun pakai nomor pribadi merek bisnis malapetaka verifikasi pakai voucherpromo hapus akun hapus akun hapus akun ulang pakai rela ganti nomor jalan keluarnyaaa sesal akun,0
605,Mutiara Indria,jual sombong ngatain beli butuh beli sopan cuman nanya produk jual,0
608,Arjun Yudis Haryanto,ngalamin buruk pakai utama kirim anteraja beli tanggal kirim tanggal paket lacak diam ubah tanggal kirim kota bener kecewa,0
609,Muhammad Ganendra,mantap segi pelayannnya arogan nyekik driver gokil lahsharusnya gabung goto sejahtera promo driver sambung beli butuh goto goto butuh sellerseller butuh driver ngirim arogan,0
616,Nur Syahria,kecewa bayar batal sdgkn uang kirim alas brg uang,0
623,muzakkir,fitur ambil kota hadir opsi kirim,0
643,Artionary,skrng bugnya samarsamar akun bank knp hapus data permanent ngeri customer klik hapus kehapus,0
647,Hoer Aff,ribet banget gue cape cape bayar alfa batalin tarik saldo ribet ampun nyusahin,0
650,Mas Safii,jual nakal stock ngakunya ready proses nunggu batalkandan tmbahan paking transfer rekening,0
652,Danis Hann,screen shoot transaksi pembeliananeh batas screen shoot rusak coba pakai samaapaan cb batas butuh bukti transaksi takut bobol data urus management crnya fungsi pakai batas payah dagangkembalikan fungsi screen shoot halaman transaksipaham,0
655,Raplis No39,order batal,0
657,NOOB Universe,pake kredivo daftar menu login kredivo daftar gagal setolol,0
661,A.M.V Project,sistem cod maaf,0
678,Noviana Nur,transaksi tgl smp tgl paket seller batang pesan stok kosong tidakmemberitahu buyer,0
679,Asror Hidayat,mantapsemoga anak bangsa,0
680,Fathur Yoga,parah normal konek internet uninstall install bosen,0
683,caing NSTN,instal tipu sen duit transfer sen blok batal alesan akal padal akun gunain prakerja,0
688,Shillv Account,jelek transaksi dibatalin voucher ilang dasar tipu,0
692,Rizki Riyadi,goblogg emang syarat ketrnyuan beli srngaja langgar srbelum gua bayar kasoh goblog kaya ngambil beli transaksi gua bayar bayalin gua sk mending gua madih uang bayar gara gara dama gua bayar cancel uang gua habis goblogggg balikin duit guaa tokoidiotttttt,0
696,Glen Jantje Jonathan Runtuwene,hapus ulas gwpayahndan recomendedgagal pickup sampexmau barubarangnya tibakalian tertibkanseller agen pengantarnya untung doank,0
704,Syam Rizal,aning gua iklan bawa kesini kontol,0
722,Arif Mulyono,mundur login hangus gilir kirim data lengkap usaha bego ribet banget tutup,0
727,Andry Comunity,gue gara dpat vocer jt tpi ngeclaim kode promo,0
739,Kevin Akbar,kecewa udh beli kaos udh bayar alfa batalin beli lgi main pake diskon udh bayar alfa lgi batalin lgi rugi bayar alfa tekor kapok,0
742,MMF Vlogs,kecewa info estimasi beda ekspedisi,0
746,john herlambang,kerjasama goto rugi mitra driver insentif potong rugi kerjasama ujung tombak,0
749,Bagas Putra,pesan batal sistem otomatis nelanggar sk tera batal rugi effort bayar pesan batal,0
757,N POnoROGO,error internet putus pdhal buka apl bentar mending tutup profesional,0
764,syukri adi,berita bantu umkmujung ujung suruh anjiirrrr rp rupiah awalsekali coba sendal jepit suruh bayar ribubabiiiii pantesan mati prankdan tipu tipu,0
771,PetranSamuel,saran lazada ongkir ngotak iklan doang bebas ongkir tpi ongkir ttp ribu,0
774,Eti Supriati,cekout kode pesan screenshot bad,0
776,Endri Ânsyah,goto driver sengsara sejahtera driver maaf pantes,0
780,Esa Nurtiara,sistem bayar cod pilih udh menuhin syarat,0
781,Sari astuti,pesan batal otomatis pesan salah varian batal pesan checkout pakai voucher gratis ongkir batal sistem pokok ribet shopee nyesel pakai ribet,0
782,Kuota Data,jual official store jual repack packing ulang logo official store jamin jual original rugi tolong cek oficial jual ori badge official store,0
785,Banana,gratis power bank bohong iklan power bank,0
787,Febri Budiman,kasi bintang bagus bintang,0
798,anto fit,alam complaint terimacth alami lazada alat cukur obat sesuai kasi,0
799,Tiffany Carlene,mesti pakai kurir anter pengirimannya lelet mesti pakai cepat,0
801,Ma Ma,asli suka vocer pake batalin seller batalin nyadah kapok pokok rugi saldo kaga ambil ajing kau,0
808,Yudi Presetio,bayar batal alas langgar skuang kecewabkn uang layan pengecekanunistal ajasaya haramkan install,0
811,Condro Yugantoro,sinidikirim bekas kasih ulas tokonyagak jugamalah mesti nunggu dirisupaya jebak fiturnya tinggal sebelahribet,0
813,Ai Ignister,kecewa cari batas cari cari web,0
816,MomAy momay,uang saldo ko ilang rbcek history raib notif,0
818,Tri Yani,kecewa banget seller beli sesuai order gilir balikin ongkir buyer bayar lagitolong sistem seller tanggung block,0
819,A4 Kk Pulco,ribet temu hidup ganti nohp pake ribet mati daftar pakai email pasword ujung ujung konfirmasi via notelp setingannya konyol gabener,0
828,Lucye shwarosiki,error gambarfoto produk,0
836,one the blue,sengaja bintang pake gopay bayar gopay,0
837,Deden Mohamad,error tarik saldo disuru sandi pedahal sandi,0
838,Muhammad Fathoni,bintang pesan istri batal sistem sayaistri belah lancaraja nama batal sistem beli handsfree cina promo bayar layan official jugabarang tersebutpun pakai kuponvoucher pakai maaf bintang,0
853,Iqbal Gustianda,pembohongtau nipuin susah,0
859,arman syah,bintang turun bintang ganggu,0
863,Ncong Acong,beli paket data notif cek paket data data nambah parah,0
865,z 7,stop suka sakit fitur tema gelap suka sakit stop tema gelap nyaman dingin sakit,0
870,Tsalitsiya Fadhila,ribet pesan batal jual,0
874,Afnan uwais Al latief,bohongisruh klaim vocher jta vocher trdaftarmaaf klau nyuruh bohong,0
875,Nur Salim,pesana batal sukak kesel batal ngerti,0
879,Nurul Alam S.P,dapet diskon ribu pesan batal indikasi curang curang picek kecewa,0
881,Bambang Kurniawan,bayar error mulu patah,0
888,Muhammad Afwan Hermawan,aneh beli batal sistem,0
893,diwar_019,gjls tb tb lot dipke gua buka kg lot gua buka lot,0
902,ImamSarifin Hkua muakhi,rugi driver castamer atw kirim susah hubungititik kadang sesuaiongkos murah gosen biasaterus castamer samarkanklw perbaikiintinya suruh semuan driver kasih bintang iniklw perbaki sistem nyabelum,0
904,Darma Yanti,bagus paham batal bimbingmakasih,0
905,Nick Names,fiturgame panen telur suka eror notif energi buka pilih energi game muncul teks ganggu rumah beres apps jengkelnya telur hilang gara curi funfarm lazada suka loading eror shopee tanam hasil loadingeror curi diseriusin gamenya,0
922,Oktavia Rahmawati,ngakak baca deskripsinya alhamdullilah beli lancar teruss kesini jalur bts army,0
925,ilma digital,bayar pbb kota semarang time kerjasama pajak pale wifi pake data coba ulang ulang tetep gagaldan time cek sistem troble,0
928,Shaumaza Nichole Hy,traktir rupiah php bayar batal otomatis sistem php parah ngenakin zonkkkkk,0
930,Andi Rizky,jelek checkout bayar status batal sistem uang ilang hilangin playstore bagus belah,0
933,KE NR,overall apps bagus salah anak bangsa support tokoped dipengeriman apps belah tokoped tingkat kualitas,0
934,Muhammad Luthfi,susahsusah panen telur pake alarm jam gilir tinggal dikit netes telor curi serasa dibodohin uninstall,0
935,Dedy Irawan,bayar akses error,0
936,Van Kepleh,sampah udh bayar batal otomatis parah bayar pemberitahuan skali smpama knp bayar lunas br notif pesan batal ksian sperti rmh pelosok nyari indomart susah batal jidaknya kecewa sampah kapok,0
952,Rini Gendari,kehapus anak sayaterus lagisaya paake email sayatapi masukin nomer sayatidak nomer daftar akun bantu,0
955,Ukie Dafa,baikmasa screenshot rincian beli menu izin screenshot susah gambarvideo menu komplen tolong,0
968,Eka Christina,sbnr mendat hadiah vouchersbnr aplsh paksa hapus mndtp voucher passy ad ap cmn hoax ytolong tindak udh paket,0
972,Jek Pot,maaih bego baca account vocer promo account batal,0
983,Andi Royto,dasar ngentod ajg suruh dolload gara hadiah akal dolload dasar ngentod,0
991,siti masitoh,belanjanya mager jdnya beli recommended banget mls kluar rmh,0
992,Naufal Raditya Pratama,bantu mengunduh beli item login cek item beli,0
1008,Beny Cahyadin,jual emas input nominal nol,0
1020,muhammad irfansyah putra,beli cancel bayar alfamart uang tua,0
1021,johan resubun,bintang sru google ambil hdiah juta malahsdh downloaddan jugamalaharahan melulukecewa,0
1026,moch hilmi,suruh gratis dibatalkankatanya penuh syarat syarat promoudah maksa suruh,0
1035,Fuad Wibowo Sahil,ud kadarluarsa ud aktif mending blokir hapus situs,0
1036,Rafli putra,beli rp voucer pakai pesan pertamamu pesan dibatalin gara gara akun akun cuman akun goggle,0
1037,Yulia Haimi,kecewa voucher ad hany zonkawas kubur mu sempit,0
1038,Denny Adrian,cancel beli discount disc kasih voucher akunkalau deteksi alamat ko cancel kasian tinggal kasian dagang php,0
1043,Yuli Nana,gmna ambil hadiah ko klaim ttp,0
1048,Oktaviaokta Via,kecewa pesan batal otomais alas,0
1055,solatin es,akusebel vicer melulu downlod apdet apdet ngga,0
1059,Buka Mata,updatesangat ganggu,0
1061,hilda rohmawati,login hapus chace instal ulang restart login yaudah gajadi pake apke eror,0
1062,nawi thebluse,balikin duit pesan batal balikin duit rp,0
1065,Wawan Ahmad,customer service ngga hubung pelapak rugi solusi,0
1069,Miftakul Fikri,jancooooook mu ap coook ribet kemarin susa traksaksi beli batal saldo ilang suruh login nomer kode ngisi data nol coook urus proses hukum kalu urus sekrang gelap saldo lainy pemebelian,0
1071,Iranisa Nurkhairani,jelekkkk pokok nyesel,0
1072,ARYO PAMUNGKAS,knp lot loading lambat wifi rumah mbps,0
1075,Haerul Idoel,anjg rp tenyata bayar ongkir palukka mending shopee,0
1080,Siwi Suri,pesan batal sistem,0
1090,Faisal umar Zeha,banget diperhatiin developer bingung panik didetail transaksi bayar top up pulsa cek nomer isi bayang ngisiin nomer nominal gede cek nomernya pencet pembayaranvia alfaindomart panik salah ngetik cek ulang panik notif email tera nomer tolong atasin,0
1093,Muhammad Eka Fadillah,diskon bohong,0
1099,willy boy,metode cod cod pajang jabodetabek,0
1100,Melga Titatu,parah abismau tarik saldo refund suruh sanditapi gilir sandiktanya akun sandibikin lapor jwabannya bgtu,0
1107,Zulhida Umar,label bebas ongkir rincian tagih ongkir resah,0
1109,Bayu Supardi,sorry respect admin selesai jual trickisangat berat belah sisi,0
1110,Toyib Eureka,tipu gratis hoax gua coba gagal,0
1112,Luthfi Alfansa,wahparah transaksi disinikenapa batal sepihakpembayaran,0
1117,Gusli Exopets,blokir muncul beranda cari,0
1119,Johnson Kosasih,versi potong points cash back inimasih benefit cashback potong pake point,0
1121,Montir HP Kalbar,menu bayar error,0
1136,vila agisna,app robux roblox gratis bohong suka unistal shopee beli robux itemku kecewa besarr habis gb app jelek,0
1146,Sahabat Rantau,internetnya payahpdhal app market place belah jaring sinyalsering time outpdahal sinyal full stabilbnyak keluh konsumen,0
1150,Rosiandri Wijanofa,tokopoint jarang dapet point point contoh grab food banget maksa point dapet pakai males cari untung maksa banget,0
1152,Fery Keyboardist,inikenapa batal batal verifikasi nyambung bangtharusnya pake verifikasi lagikita batal beli batal,0
1161,Hidup & Sejarah,panen telur nunggu nyempetin sia bener tipu,0
1168,Jeky Nor rifa'i,sedia hapus,0
1169,El Chanel,pakai vocher ribet batal beli,0
1174,Muharam Birahim,akukasi bebar kasi bintang tipu jatanya samsung ngatau ambilnya dimanamendingan hpaja utu jelasdasar tipu,0
1177,Hikmatul Maulidiyah,rugi udh bayar batal mending belah sgt sahabat kyk ush didownload diaplikasi belah kecewa alas identitas emg poin identitas knp kasih poin knp hrs batal udh bayar knp checkout bayar batal rugi udh rugi rugi uang,0
1183,rey naldo,bantu cari butuh,0
1187,noer ali azhar,buruk keluh danatau complain selesai,0
1193,Diana Safitree,parah banget order rupiah batal uninstall tipu tolong google langgar rp rupiah,0
1195,Bung Mahdi,devlopernya sanggup bayar pelanggannya cenderung mintak uang rakyat jelata link palsusertifikat palsuperusahaan piktif tipu rakyat kategori usaha miskin,0
1199,Ardi Suhardi,cari user maksa iming hadiah klaim susah,0
1203,Khoiril Adzim,beli pulsa bolakbalik halaman checkout kebayarbayar ngeselin,0
1208,Mang Utay,parah tipu kedok diskon bayar batal,0
1212,Rina Wan,sistem daftar checkout rp batal tunggu daftar checkout camat camat sistem,0
1213,Tante Airin,maksudny gmana order daldo balikin yapadahal potonganini jual bohong yaudh isi lagiaplikasi,0
1219,Wakhidin Wakhidin,huu nyesel pdhl promo tpi pesan batalin asli nyesel badan kuota,0
1222,IRwanz G-Maisty,gagal proses bayar via,0
1224,Insan Muhamad,seller niat jual tindak estimasi kirim bom kirim seller dichat robot bales nyesel banget,0
1234,Ambo Dalle,uang refund dapet voucer freeong teknik marketing voucer hangus gagal uang refund akun,0
1237,puji pangestu,sistem tracking aneh error cek resi kurir beda,0
1239,Panji Irawan,jelaspemaksaan buka nyasar wibke pulsa jelaspemaksaan,0
1240,Khamim musafak Musafak,kotak asli gana,0
1243,Nugroho Hariadi,ori belah,0
1249,Prasastya Ningrum,pencet bayar layar blank putih beranda diupdate,0
1253,susy ariska putri,hrs install dipake alas sambung internet pdhl data nyala ganti pake wifi,0
1255,Jamillah 123,tibatiba batal saldo tarik sandi rugi langgan stupid,0
1256,Sekar Arum Kinanti,sulit dipake paham navigasi bingung tampil beli ecomerce belah,0
1257,Nur Abdurahman,tolong admin hapus sistem cod kasihan kurir marah custumer ngerti cod tolong hapus,0
1260,Kenzie Yafiq Hamizan,mengakomodir buyer rugi mngeluarkan ongkir retur brg salah seller tnggl akomodir seller rugi salah buyer opsi terima tolak retur brg salah buyer realisasikan,0
1265,Slara Sami maryunih,gabung pilih promo,0
1274,Tutun Turmudi,bagus bangettapi boong hayuuu palpalepaleee jelek,0
1303,Dian Aj,beda belah ribet cumman harga lumayan,0
1304,MUHAMMAD ADAM ALAMSYAH,daftar bayarin bebas ongkos kirim,0
1306,Hafa Iriyanto,lom blanjamember cari butuh,0
1307,Andrey Supiono,bayar tagih air gagal dana potong,0
1317,Andry Paliandra,swatu program tawar tinggal merealisasi swatu rencana swatu review distandarkan,0
1318,try artha,gua bandingin shopee gua kasih nilai ajar transaksinya ribet transfernya banget perhati digit nominal pusing marketingnya kacau buka lapak shopee pajak rangin kasih komisi jual gabung beda sistem investasi mending pakai untung,0
1319,suwanto kusuma,liat komentar jelek betulin,0
1329,Devika Dwi,nipuuu dapet vocer jt ternyataa msukin kode dapet vocer jt tipu menggiur kann mendownloadd rugi kuota senenggkirain dapet vocer jt apus mnding shoope,0
1333,f2 brother,jelek ngelag lemoot tolong,0
1337,Aprilliona Refania Edisa,susa verifikasi wajah minsampe gel butuh upgrade power merchant pro,0
1340,Ogushikun,bintang bingung sistem batal pesan refund bayar pesan account virtual,0
1346,ABI Al khasani,bagus banget wajib nggak nyesal,0
1359,giovanni a.k,dapet voucer masukin kode,0
1381,Rasi Ta,dapet cashback ribet bnyak syarat bnyak promo ganggu,0
1382,Erna Tri,ribet,0
1384,Risman Nara,lot mkin bagus lot,0
1385,Billy Bolang,condong kepihak seller customer anak tirikan pengadil hati pakai uang taruh berat belah harap keluh kesah konsumen perhati,0
1386,ratna wati,sya gabung,0
1394,rujakspesial bambu1000,daftr pediadan langgan ktanya gratisdlm mmbeli pertamatpi knyataannya ujung sruh byar,0
1396,sultan elsamba,main panen telur versi tampil potong tgl halang simbol boneka pake topi tgl hadiah hangus kaya dicurangi sisa energi hangus kecewa,0
1398,Miazawa Amoorea,server salah gabisa dipake laaah kmren,0
1400,joni dipamada Soenoe,ganti susah mauk selarang nisa pakai akun,0
1407,Migha Hermansyah,fungsi komplain ditanggepin hubungin costumer service susah sampah,0
1409,Ohim Fatvrohim,kecewa batal sistem,0
1417,Arie scorpion,gabung nyiksa driver harga mausiawi sekolah hati otak hidup jnggnn kaya pohon pisang hti jantung titik oranga,0
1420,Achmad Raihan C.7,bagus bayar belit belit bayar pakai akun bank verivikasi uang saldo akun dibelanjain ribet transfer rekening,0
1439,Anton achmad mulyana,nanya suruh klaim bener kotak diskon,0
1443,Heru Cokro,susah login panen telur ilang,0
1449,Muhammad Rofiqul Anwar,singkat belah sumpah,0
1455,Udinese,pesan rp btalkan sepihaktrus alas batal promo barupadahal make tokopediadah males pake,0
1459,Segy Renz,kocak gabisa tarik dana gara password customer servis lamban problem udh solved,0
1460,Riki cahyono,males gabisa checkout rp batal,0
1461,wawan production,tolong admin produk realmeoppovivo hapus produk demo posting realmeoppovivo demo beli pusing nyari new produk,0
1462,Hany Nisha,alhmdllh nyangka ngomng lgi,0
1466,Iwan Prastiyo,bug kasih ulas error,0
1471,Paijo Budoyo,sulit ku memamahi amplikasi cari erti ketik cari letak faham harap maklum ajar cari cari,0
1480,irfan sodikin,jelek shopee,0
1481,Katatakarin Allam,barusan salah alamat fast respoj,0
1482,Budi Nugroho,susah error pembaruantambah error susah,0
1486,Serba ada,cari rokok pdhal orange pink,0
1491,Sahabat Kolagen,upgrade ulang lot kuota penuh kesedot loadingnya buka jaring hengpon,0
1492,Arif Hidayat,lot payah,0
1493,Itha Azura,ganggu,0
1513,dian anggara,bangst susah penuh memory sya ajha,0
1516,ziyad al-khoir,responnyaudah butuh cepat kaga minus bintang yabiar jeblok,0
